;Run;AssemblyName;bases;size_MB;LibraryLayout;BioSample;ScientificName;LibraryStrategy;LibrarySelection;LibrarySource;Sex;Analyte_Type;Histological_Type;Body_Site;Tissue;Dev
15288;SRR3675069;;5687476600;3540;SINGLE;SAMN05255849;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15289;SRR3675070;;5255745300;3263;SINGLE;SAMN05255850;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15290;SRR3675071;;5998550000;3722;SINGLE;SAMN05255851;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15291;SRR3675072;;5710852000;3549;SINGLE;SAMN05255852;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15292;SRR3675073;;5439369600;3381;SINGLE;SAMN05255853;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15293;SRR3675074;;6261773700;3906;SINGLE;SAMN05255854;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15294;SRR3675075;;6452362900;4027;SINGLE;SAMN05255855;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15295;SRR3675076;;6132908800;3839;SINGLE;SAMN05255856;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15296;SRR3675077;;5867976200;3672;SINGLE;SAMN05255857;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
15307;SRR3708802;;138348684;96;SINGLE;SAMN02978959;Apis_mellifera;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;embryos;NA
15308;SRR3708803;;1391745708;815;SINGLE;SAMN02978959;Apis_mellifera;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;embryos;NA
15309;SRR3708804;;1455129648;839;SINGLE;SAMN02978959;Apis_mellifera;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;embryos;NA
15356;SRR3569809;;5370924400;3525;PAIRED;SAMN05162530;Apis_mellifera;RNA-Seq;PCR;TRANSCRIPTOMIC;pooled male and female;;;;tissue;NA
15357;SRR3569811;;7673842600;5032;PAIRED;SAMN05162530;Apis_mellifera;RNA-Seq;PCR;TRANSCRIPTOMIC;pooled male and female;;;;tissue;NA
15358;SRR3569812;;7563111200;4950;PAIRED;SAMN05162530;Apis_mellifera;RNA-Seq;PCR;TRANSCRIPTOMIC;pooled male and female;;;;tissue;NA
15359;SRR3569813;;6573863200;4299;PAIRED;SAMN05162530;Apis_mellifera;RNA-Seq;PCR;TRANSCRIPTOMIC;pooled male and female;;;;tissue;NA
15363;SRR3547488;;4095140950;2719;SINGLE;SAMN05150055;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15364;SRR3547489;;4777824650;3157;SINGLE;SAMN05150056;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15365;SRR3547490;;3677005350;2488;SINGLE;SAMN05150057;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15366;SRR3547491;;4441539100;2969;SINGLE;SAMN05150059;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15367;SRR3547492;;4970600500;3307;SINGLE;SAMN05150060;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15368;SRR3547493;;2845903250;1959;SINGLE;SAMN05150061;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15369;SRR3547494;;3614159900;2465;SINGLE;SAMN05150062;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15431;SRR3547484;;4504956850;2980;SINGLE;SAMN05150051;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15432;SRR3547485;;2262623700;1564;SINGLE;SAMN05150052;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15433;SRR3547486;;4577702050;3082;SINGLE;SAMN05150053;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15434;SRR3547487;;3998512600;2662;SINGLE;SAMN05150054;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;brain (pool of 4 brains);NA
15561;SRR5041701;;319183950;186;PAIRED;SAMN04516663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;L3
15679;SRR3123400;;3315859265;1968;PAIRED;SAMN04413734;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15680;SRR3123402;;3665609547;2177;PAIRED;SAMN04413734;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15681;SRR3123404;;3458122132;2064;PAIRED;SAMN04413734;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15682;SRR3123406;;3835111740;2291;PAIRED;SAMN04413734;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15683;SRR3123407;;4052238913;2424;PAIRED;SAMN04413734;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15684;SRR3123408;;3369486989;2003;PAIRED;SAMN04413734;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15685;SRR3123355;;3420889510;2038;PAIRED;SAMN04413667;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15686;SRR3123357;;3269079311;1935;PAIRED;SAMN04413667;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15687;SRR3123359;;2804409188;1665;PAIRED;SAMN04413667;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15688;SRR3123361;;3373047566;1987;PAIRED;SAMN04413667;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15689;SRR3123362;;3376516278;2011;PAIRED;SAMN04413667;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15690;SRR3123364;;3681656879;2181;PAIRED;SAMN04413667;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15691;SRR3102934;;3421917409;2055;PAIRED;SAMN04413663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15692;SRR3123272;;3435886994;2067;PAIRED;SAMN04413663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15693;SRR3123273;;3291695850;1974;PAIRED;SAMN04413663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15694;SRR3123275;;3401658632;2039;PAIRED;SAMN04413663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15695;SRR3123276;;3265167987;1966;PAIRED;SAMN04413663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15696;SRR3123277;;3156382673;1879;PAIRED;SAMN04413663;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15697;SRR3123443;;3563916591;2163;PAIRED;SAMN04413735;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15698;SRR3123445;;3266531869;1973;PAIRED;SAMN04413735;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15699;SRR3123446;;2756717334;1662;PAIRED;SAMN04413735;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15700;SRR3123448;;3355144945;2026;PAIRED;SAMN04413735;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15701;SRR3123449;;3480808204;2113;PAIRED;SAMN04413735;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15702;SRR3123451;;3673103779;2202;PAIRED;SAMN04413735;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15703;SRR3123372;;3375828846;2070;PAIRED;SAMN04413668;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15704;SRR3123380;;4067537138;2490;PAIRED;SAMN04413668;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15705;SRR3123385;;3250290850;1998;PAIRED;SAMN04413668;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15706;SRR3123388;;3263660733;1952;PAIRED;SAMN04413668;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15707;SRR3123389;;3331631940;1997;PAIRED;SAMN04413668;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15708;SRR3123390;;3556198831;2130;PAIRED;SAMN04413668;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15709;SRR3123279;;3621149122;2189;PAIRED;SAMN04413664;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15710;SRR3123281;;3308419230;2005;PAIRED;SAMN04413664;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15711;SRR3123337;;4008211069;2420;PAIRED;SAMN04413664;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15712;SRR3123340;;3256439637;1952;PAIRED;SAMN04413664;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15713;SRR3123341;;3329745103;2018;PAIRED;SAMN04413664;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15714;SRR3123342;;3707089435;2243;PAIRED;SAMN04413664;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15723;SRR3033252;;3715467204;2333;PAIRED;SAMN04351091;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15724;SRR3033253;;4497425364;2840;PAIRED;SAMN04351092;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15725;SRR3033254;;3999602828;2482;PAIRED;SAMN04351093;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15726;SRR3033255;;3510941598;2185;PAIRED;SAMN04351094;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15727;SRR3033256;;2071881276;1290;PAIRED;SAMN04351095;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15728;SRR3033257;;4053684692;2536;PAIRED;SAMN04351096;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15729;SRR3033258;;3641348758;2303;PAIRED;SAMN04351097;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15730;SRR3033259;;4480922974;2800;PAIRED;SAMN04351098;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15731;SRR3033260;;4437573168;2742;PAIRED;SAMN04351099;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15732;SRR3033261;;2830665996;1784;PAIRED;SAMN04351100;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15733;SRR3033262;;4777788032;2984;PAIRED;SAMN04351101;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15734;SRR3033263;;4536988478;2816;PAIRED;SAMN04351102;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15735;SRR3033264;;3615744652;2256;PAIRED;SAMN04351103;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15736;SRR3033265;;3304820798;2030;PAIRED;SAMN04351104;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15737;SRR3033266;;3650570462;2226;PAIRED;SAMN04351105;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15738;SRR3033267;;3974174462;2442;PAIRED;SAMN04351106;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15739;SRR3033268;;4506745644;2784;PAIRED;SAMN04351107;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15740;SRR3033269;;4373369892;2711;PAIRED;SAMN04351108;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15741;SRR3033270;;3355358370;2081;PAIRED;SAMN04351109;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15742;SRR3033271;;4147440770;2585;PAIRED;SAMN04351110;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15743;SRR3033272;;3738944856;2307;PAIRED;SAMN04351111;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15744;SRR3033273;;4261297666;2655;PAIRED;SAMN04351112;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and active ovaries;"Adult workers &gt;18 days post emergence"
15749;SRR3144558;;4858364882;2168;PAIRED;SAMN04450256;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15750;SRR3144559;;3889864944;1693;PAIRED;SAMN04450256;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15753;SRR3144549;;6144926583;2533;PAIRED;SAMN04450257;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15754;SRR3144556;;5531883834;2269;PAIRED;SAMN04450257;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15755;SRR3144557;;4553856152;1869;PAIRED;SAMN04450257;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15756;SRR3095863;;5920851578;3606;PAIRED;SAMN04390202;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15757;SRR3095864;;5856376785;3579;PAIRED;SAMN04390202;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15758;SRR3095865;;6265610623;3801;PAIRED;SAMN04390202;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15759;SRR3095866;;5142443309;2341;PAIRED;SAMN04390202;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15760;SRR3095867;;5417538852;2428;PAIRED;SAMN04390202;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15761;SRR3095868;;5409980757;2415;PAIRED;SAMN04390202;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15762;SRR3095845;;7248248322;3324;PAIRED;SAMN04390203;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15763;SRR3095846;;8109634896;3721;PAIRED;SAMN04390203;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15764;SRR3095847;;8345031485;3831;PAIRED;SAMN04390203;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15765;SRR3095848;;5102621301;2271;PAIRED;SAMN04390203;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15766;SRR3095849;;4947582269;2219;PAIRED;SAMN04390203;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15767;SRR3095850;;5060852543;2270;PAIRED;SAMN04390203;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15768;SRR3095478;;5060513920;2341;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15769;SRR3095479;;5118537632;2360;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15770;SRR3095480;;5074589701;2294;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15771;SRR3095836;;7716179877;3706;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15772;SRR3095837;;7122107371;3466;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15773;SRR3095838;;9061314320;4327;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15774;SRR3095839;;4773395178;2157;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15775;SRR3095842;;4862876896;2174;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15776;SRR3095843;;4874661543;2201;PAIRED;SAMN04390236;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15777;SRR3095870;;7992725913;3702;PAIRED;SAMN04390201;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15778;SRR3095871;;8067273143;3714;PAIRED;SAMN04390201;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15779;SRR3095872;;8705632600;4015;PAIRED;SAMN04390201;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15780;SRR3095873;;5060513920;2341;PAIRED;SAMN04390201;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15781;SRR3095874;;5118537632;2360;PAIRED;SAMN04390201;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15782;SRR3095876;;5074589701;2294;PAIRED;SAMN04390201;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;larvae body;NA
15794;SRR3144561;;5311952289;2383;PAIRED;SAMN04450254;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15795;SRR3144562;;5125563118;2120;PAIRED;SAMN04450254;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15796;SRR3144563;;3813725160;1576;PAIRED;SAMN04450254;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15800;SRR3144564;;6144926583;2533;PAIRED;SAMN04450253;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15801;SRR3144566;;5006932377;2051;PAIRED;SAMN04450253;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15802;SRR3144567;;3315633804;1446;PAIRED;SAMN04450253;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head,chest;NA
15806;SRR3033249;;3524289152;2221;PAIRED;SAMN04351088;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15807;SRR3033250;;2965155576;1832;PAIRED;SAMN04351089;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15808;SRR3033251;;4394118120;2743;PAIRED;SAMN04351090;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;Eviscerated abdomen with attached fat bodies and inactive ovaries;"Adult workers &gt;18 days post emergence"
15898;ERR413293;;986475282;684;SINGLE;SAMEA2336979;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15899;ERR413294;;1160668568;808;SINGLE;SAMEA2336980;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15900;ERR413295;;1038603907;720;SINGLE;SAMEA2336981;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15901;ERR413296;;917018491;644;SINGLE;SAMEA2336982;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15902;ERR413297;;898873336;610;SINGLE;SAMEA2336983;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15903;ERR413298;;965126811;653;SINGLE;SAMEA2336984;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15904;ERR413299;;900771126;612;SINGLE;SAMEA2336985;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15905;ERR413300;;1009775780;684;SINGLE;SAMEA2336986;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15906;ERR413301;;798301576;541;SINGLE;SAMEA2336987;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15907;ERR413302;;949861166;646;SINGLE;SAMEA2336988;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15908;ERR413303;;877614351;591;SINGLE;SAMEA2336989;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15909;ERR413304;;997460446;671;SINGLE;SAMEA2336990;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15910;ERR413305;;892267633;601;SINGLE;SAMEA2336991;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
15911;ERR528750;;978825643;679;SINGLE;SAMEA2591288;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;female;;;;NA;NA
15912;ERR528751;;1073644645;746;SINGLE;SAMEA2591289;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;female;;;;NA;NA
15913;ERR528752;;988327723;685;SINGLE;SAMEA2591290;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;female;;;;NA;NA
15914;ERR528753;;1016981625;704;SINGLE;SAMEA2591291;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;femLE;;;;NA;NA
15915;ERR528754;;1036013560;718;SINGLE;SAMEA2591292;Apis_mellifera;RNA-Seq;RANDOM;TRANSCRIPTOMIC;female;;;;NA;NA
15933;SRR2153283;;3401658632;2039;PAIRED;SAMN03975661;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15934;SRR2153286;;3265167987;1966;PAIRED;SAMN03975661;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15935;SRR2153287;;3156382673;1879;PAIRED;SAMN03975661;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15936;SRR2153280;;3421917409;2055;PAIRED;SAMN03975662;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15937;SRR2153281;;3435886994;2067;PAIRED;SAMN03975662;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15938;SRR2153282;;3291695850;1974;PAIRED;SAMN03975662;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15939;SRR2153257;;3256439637;1952;PAIRED;SAMN03975636;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15940;SRR2153259;;3329745103;2018;PAIRED;SAMN03975636;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15941;SRR2153260;;3707089435;2243;PAIRED;SAMN03975636;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15942;SRR2153227;;3621149122;2189;PAIRED;SAMN03975637;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15943;SRR2153228;;3308419230;2005;PAIRED;SAMN03975637;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15944;SRR2153229;;4008211069;2420;PAIRED;SAMN03975637;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;not collected;;;;whole larva body;NA
15947;SRR2146246;;3383786221;1894;PAIRED;SAMN03959806;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
15948;SRR2146247;;3471360205;1947;PAIRED;SAMN03959807;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
